chromosome	start	end	exon_name	exon#	strand
17	43125271	43125364	ENSE00001852567	1	-
17	43125277	43125364	alt-UTR	1_dE1q6	-
17	43125182	43125364	alt-UTR	1_nE1q89	-
17	43124737	43125364	alt-UTR	1_nE1q536	-
17	43124017	43124115	ENSE00003559512	2	-
17	43115726	43115779	ENSE00003510592	3	-
17	43106478	43106533	Not_annotated	4_dE4q22	-
17	43106456	43106533	ENSE00003541068	4	-
17	43104868	43104956	ENSE00003531836	5	-
17	43104122	43104261	ENSE00001917948	6	-
17	43099775	43099880	ENSE00004011563	7	-
17	43099775	43099877	ENSE00003591036	7_dE7p3	-
17	43097244	43097289	ENSE00004011550	8	-
17	43095846	43095922	ENSE00004011559	9	-
17	43091435	43094860	ENSE00004011566	10	-
17	43094744	43094860	ENSE00001936588	10_d10q	-
17	43090944	43091032	ENSE00004011558	11	-
17	43082404	43082575	ENSE00004011560	12	-
17	43082404	43082572	ENSE00004011560	12_dE12p3	-
17	43076488	43076614	ENSE00004011561	13	-
17	43076488	43076611	ENSE00001516235	13_dE13p3	-
17	43074331	43074521	ENSE00004011562	14	-
17	43070928	43071238	ENSE00004011554	15	-
17	43067608	43067695	ENSE00004011556	16	-
17	43063874	43063951	ENSE00004011565	17	-
17	43063333	43063373	ENSE00004011567	18	-
17	43057052	43057135	ENSE00004011551	19	-
17	43051063	43051117	ENSE00004011553	20	-
17	43049121	43049194	ENSE00004011568	21	-
17	43047643	43047703	ENSE00004011552	22	-
17	43044295	43045802	ENSE00004011564	23	-
